gross_perforated_length,total_proppant,total_fluid,true_vertical_depth,proppant_intensity,frac_fluid_intensity,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,batch_frac_classification,well_family_relationship,frac_seasoning,OilPeakRate
3810.03937,286571.4286,1621423.513,8801.181102,75.21482083,425.5660783,0.17674064,5.65800827,1.0,2,2,92.0,10.78571595
4017.716535,135363.7857,1016598.657,8605.314961,33.69172129,253.0289652,0.133153614,7.510122829,1.0,2,0,28.0,83.51298912
3355.314961,111142.8571,562187.6703,8718.503937000001,33.12441856,167.5513855,0.197697073,5.0582438210000005,1.0,2,2,31.0,35.41595786
3786.417323,93000.0,671352.7109999999,8544.291339,24.56147648,177.3055249,0.138526289,7.218846355,1.0,2,1,20.0,207.3924924
3535.433071,117142.8571,440176.08,8627.952756,33.13394846,124.50414740000002,0.266127267,3.757600683,1.0,2,0,53.0,34.52071963
4437.992126,182857.1429,1321109.121,4128.937008,41.20267402,297.6817181,0.138411839,7.224815506,1.0,2,2,41.0,28.28571866
4478.346457,270950.6231,1132306.175,3148.622047,60.50238089,252.8402361,0.239290952,4.179012996,1.0,2,2,16.0,181.9159012
4676.1811020000005,349571.4286,851399.6318,3169.291339,74.75575067,182.0715693,0.410584425,2.435552686,1.0,2,0,15.0,197.02384
4430.11811,350428.5714,1505329.233,3267.716535,79.10140604,339.7943792,0.2327919789999999,4.295680649,1.0,2,2,40.0,128.2317659
4994.094488000001,408857.1429,1720422.7659999998,3166.338583,81.86812321,344.4914329,0.237649228,4.207882377,1.0,2,2,26.0,70.73810619
5265.748031,388285.7143,1673907.259,3117.125984,73.73799733,317.8859393,0.231963696,4.311019431,1.0,2,2,23.0,148.2833563
3668.307087,151000.0,995509.7969,9655.511811,41.16340220000001,271.3812594,0.151681079,6.592780112000001,1.0,2,2,24.0,19.15357439
3937.007874,339428.5714,1590207.246,7830.708661,86.21485714,403.9126405,0.213449267,4.684954008,1.0,2,2,19.0,87.96804933
4118.110236,134017.7143,497730.9104,7822.834645999999,32.5434985,120.86391129999998,0.2692573669999999,3.713918813,1.0,2,2,24.0,64.32143853
1938.976378,138548.7143,1846747.786,3909.448819,71.45456534,952.4343911,0.075023084,13.32923077,0.0,2,2,37.0,39.66667281
3312.992126,99504.42857,409979.492,6596.456693,30.03461064,123.74900890000002,0.242705868,4.120213521,1.0,2,2,29.0,163.5833586
4450.787402,349714.2857,1594563.485,8230.314961,78.5735768,358.26548,0.219316627,4.5596178080000005,1.0,2,2,75.0,100.2143012
4555.11811,219142.8571,727055.6601,7007.874016,48.10914928,159.6129107,0.30141139,3.317724655,1.0,2,2,21.0,274.16288260000005
4192.913386,420428.5714,2058353.819,7217.519684999999,100.2712274,490.9125539,0.204254763,4.895846663,1.0,2,0,30.0,196.7500304
3923.228346,451393.6429,1919215.464,8500.984252,115.0566837,489.1929029,0.23519696,4.251755633,1.0,2,2,9.0,184.6428857
3899.606299,448267.0,1895076.793,8627.952756,114.9518607,485.9661842,0.236542921,4.227562576,1.0,2,2,6.0,223.8571775
4490.15748,336784.6429,1647634.755,6171.259843,75.00508486,366.9436456,0.204404915,4.892250255,1.0,2,2,135.0,41.39286355
5592.519685,172857.1429,1204869.806,8153.543306999999,30.90863378,215.443105,0.143465412,6.970321189,1.0,2,2,56.0,237.1786081
4445.866142,120078.2857,1126834.674,8882.874016,27.008974600000005,253.4567255,0.10656247,9.384166902,1.0,2,2,62.0,41.92857792
3558.070866,82857.14286,624961.5729,6439.96063,23.28709741,175.6461848,0.13257958,7.542639672999999,1.0,2,1,38.0,45.89286425
2817.913386,33384.07143,285140.9965,7134.84252,11.84708927,101.1887015,0.117079171,8.541228925,1.0,2,1,18.0,1.845238381
6152.559055,641000.0,2789292.598,7642.716535,104.1842905,453.354868,0.229807371,4.351470512,1.5,2,1,38.0,196.5670939
3364.173228,79000.0,634667.8958,10479.33071,23.48273844,188.6549392,0.124474549,8.033770833,1.0,3,3,32.0,22.74563844
3862.204724,285857.1429,504029.078,7261.811024,74.01397990000001,130.5029417,0.56714415,1.7632201630000002,1.0,2,2,23.0,113.9881129
4595.472441,124714.2857,458275.6543,8013.779528,27.13851238,99.72329508,0.272138143,3.67460433,1.0,2,2,35.0,55.14802441
4273.622047,117857.1429,448561.9504,8096.456693000001,27.57781141,104.9606038,0.262744405,3.805980185,1.0,2,1,23.0,68.77382017
4453.740157,342857.1429,1533393.094,8924.212598,76.98184688,344.2933445,0.22359377,4.472396525,1.0,2,0,34.0,137.5325213
4355.314961,342857.1429,1573414.101,7999.015748000001,78.72154964,361.262989,0.2179064889999999,4.58912446,1.0,2,0,20.0,127.1775197
4145.669290999999,121571.4286,554233.5858,6916.338583,29.32492199,133.6897728,0.219350526,4.558913161,1.0,2,0,64.0,88.15477555
3587.598425,136714.2857,510102.1266,8615.15748,38.107466200000005,142.18484519999998,0.268013558,3.731154531,1.0,2,0,58.0,88.96509313
4232.283465,462571.4286,2183779.838,10220.47244,109.29594679999998,515.9814686999999,0.211821458,4.720957031,1.0,2,2,12.0,210.5047945
4164.370079,120041.2857,491236.4094,8106.299212999999,28.82579681,117.9617565,0.2443656119999999,4.092228823,1.0,1,1,21.0,73.16985259
3791.338583,136000.0,1120445.721,10172.24409,35.87123572,295.5277395,0.121380266,8.238571477999999,1.0,2,2,23.0,240.2024181
3812.007874,148571.4286,539973.5836,8094.488189,38.97458596,141.6506999,0.275145735,3.634437582,1.0,2,0,7.0,288.4048065
3875.0,128765.8571,631501.0977,6552.165354,33.22989862,162.9680252,0.2039044069999999,4.904258875,1.0,1,1,32.0,125.7143052
4201.771654,135571.4286,507533.5547,7894.685039,32.26530134,120.7903705,0.2671181589999999,3.743661626,1.0,2,0,35.0,242.5279521
3979.330709,117714.2857,464422.8814,8727.362205,29.58142822,116.7087924,0.253463579,3.945340012,1.0,1,1,28.0,202.5210631
3959.645669,107571.4286,415323.6714,8690.944882,27.16693299,104.88910020000002,0.259006255,3.860910624,1.0,2,0,19.0,174.6190746
7194.881890000001,201142.8571,1540464.0480000002,8606.299213,27.95638069,214.1055366,0.130572899,7.658557056,1.5,1,1,70.0,155.0123256
6994.094488,274373.6429,1519341.235,8995.07874,39.2293303,217.2320145,0.1805872419999999,5.537489751,1.5,2,0,65.0,80.47699658
6958.661417,192160.8571,1925162.298,8603.346457,27.61462954,276.6569865,0.099815406,10.0184935,1.5,1,1,90.0,103.7393018
3841.535433,131711.6429,1304108.202,9002.952756,34.28619758,339.4757707,0.100997481,9.901237078,1.0,2,2,31.0,80.02382191
3619.094488,161145.7143,1011452.657,8734.251968999999,44.52652861,279.4767199,0.159321065,6.276633921,1.0,2,2,41.0,61.00000944
4011.811024,135714.2857,503355.935,7756.889764,33.82868358,125.4685059,0.269618924,3.708938469,1.0,2,0,46.0,96.88731658
3273.622047,151205.0714,553622.8119,8128.937008,46.1889214,169.1162889,0.273119294,3.661403726,1.0,1,1,30.0,148.8984357
4032.480315,119571.4286,1327834.277,10230.31496,29.65207992,329.28475110000005,0.090049964,11.10494616,1.0,2,2,22.0,260.8928975
4185.03937,109723.5,506736.0427,8134.84252,26.21803293,121.0827421,0.216529891,4.618300024,1.0,1,1,65.0,69.19643928
4192.913386,120078.2143,489657.9924,8120.078740000001,28.63837223,116.7822818,0.245228744,4.077825402,1.0,1,1,25.0,151.2976425
3915.354331000001,109857.1429,424336.9228,8738.188976000001,28.05803347,108.3776555,0.258891312,3.862624785,1.0,2,2,30.0,96.60438003
4296.259843,531000.0,1538096.976,11428.14961,123.5958763,358.00836830000003,0.345231808,2.896604475,1.0,2,0,24.0,199.2143165
4291.338583,458285.7143,2040615.173,10275.59055,106.7931848,475.519499,0.224582136,4.4527139060000005,1.0,2,2,26.0,180.8702661
4367.125984,187571.4286,759108.1889,11509.84252,42.95077111,173.82328600000002,0.247094461,4.04703528,1.0,2,2,19.0,220.1000341
4130.905511999999,163428.5714,1363656.997,11422.24409,39.56240852,330.1109146,0.119845806,8.34405505,1.0,2,2,29.0,256.8308221
4491.141732,225000.0,1349012.816,11217.51969,50.09861933,300.371909,0.16678863,5.995612515,1.0,3,3,25.0,122.2381142
3972.440945,134697.4286,531250.0346,8097.440945,33.90797508,133.7339037,0.253548084,3.944025066,1.0,1,1,37.0,40.67857772
4306.102362,135714.2857,573903.0888,6932.086614,31.51673469,133.27669450000002,0.236475963,4.228759602,1.0,2,0,56.0,87.92858504
3746.062992,121571.4286,527511.5816,6610.236220000001,32.45311914,140.81759509999998,0.230462103,4.339108192,1.0,2,2,67.0,187.2738385
3977.362205,187739.9286,1140660.677,7500.984251999999,47.20212013,286.7882325,0.164588762,6.075748964,1.0,2,2,36.0,203.9111427
4317.913386,193714.2857,1208187.544,8824.80315,44.86293920000001,279.8081935,0.1603346159999999,6.236956349,1.0,2,2,12.0,29.36905216
4121.062992,314253.5,1185130.183,8425.19685,76.25544686,287.5787596,0.265163696,3.771255319,1.0,2,1,19.0,23.42857505
4041.338583,193954.7857,1206179.187,8911.417323,47.99270879,298.4603151,0.160800972,6.218867877999999,1.0,1,2,28.0,68.90477257
4170.275591,96000.0,1195896.042,8472.440945,23.02006136,286.76666960000006,0.080274536,12.45725044,1.0,1,1,27.0,106.2976355
3584.6456689999995,323486.5714,1384553.2140000002,8242.125984,90.24227253,386.2454876,0.233639681,4.280094868,1.0,2,2,19.0,213.5924934
4116.141732,194766.7143,1213681.188,8439.96063,47.31778616,294.8589399,0.16047601,6.231461019,1.0,2,1,16.0,156.6666909
3675.19685,101826.9286,491095.4331,7821.850394,27.70652368,133.6242528,0.2073465189999999,4.822844409,1.0,2,2,51.0,87.72620405
3543.307087,49608.07143,242616.0018,6556.102362,14.00050016,68.47162718,0.204471556,4.890655791,1.0,2,2,3.0,144.4944668
4269.685039,193271.7143,636850.8128,7733.267717000001,45.26603543,149.15639140000002,0.303480361,3.295106142,1.0,1,1,18.0,118.6309707
4513.779528,310908.4286,1352886.709,8862.204724,68.87984375,299.7237019,0.2298111339999999,4.351399271,1.0,1,2,39.0,143.0551809
4170.275591,279650.4286,1242989.478,8416.338583,67.05802111,298.0593131,0.224982137,4.444797329,1.0,1,0,39.0,119.90359
4346.456693,159142.8571,1035967.017,8839.566929,36.61438923,238.3474841,0.153617687,6.509667076,1.0,1,0,28.0,101.8817618
3981.299213,191731.4286,606995.5939,8126.968504,48.15800529999999,152.4616869,0.315869556,3.1658638260000003,1.0,2,0,19.0,97.14564996
4017.716535,378135.9286,1685671.761,8570.866142,94.1171248,419.5596543,0.224323583,4.457846064,1.0,2,2,45.0,153.6837539
2539.370079,64300.0,260571.6475,7666.338583,25.32124031,102.6127108,0.246765144,4.052436197,1.0,2,2,10.0,95.88096722
4309.055118,120863.1429,488595.5042,8034.448819,28.04864165,113.3880841,0.2473685119999999,4.042551705,1.0,1,2,37.0,51.11905553
3950.787402,135640.4286,514997.913,8058.070866,34.33250509,130.35323359999998,0.26338054,3.796787716,1.0,1,2,48.0,62.47620015
4288.385827,119142.8571,442879.3543,8703.740157,27.7826814,103.2741391,0.269018765,3.717212805,1.0,0,1,39.0,89.09525188
3793.307087,108857.1429,406656.5867,8699.80315,28.69716065,107.2037084,0.2676881339999999,3.735690429,1.0,0,1,37.0,180.2738374
3867.125984,123285.7143,526178.5814,8255.905512000001,31.88044941,136.0645046,0.234303939,4.267960684,1.0,1,0,37.0,110.5714457
3754.92126,125571.4286,556992.5862,8223.425197,33.44182737,148.3366887,0.225445422,4.435663371,1.0,1,1,28.0,140.22581540000002
3984.251969,316285.7143,1155607.107,8278.543307,79.38396386,290.0436811,0.273696581,3.653681008,1.0,0,1,33.0,175.5313764
4764.763779999999,349142.8571,3237184.358,9290.354331,73.27600555,679.4008072,0.107853869,9.271804626,1.0,2,2,73.0,160.392882
4368.110236,763142.8571,3507790.043,9794.291339,174.7077834,803.0452194000001,0.217556595,4.59650511,1.0,2,2,37.0,236.9409097
9287.401575,242285.7143,1965136.804,9002.952756,26.08756737,211.5916695,0.123292034,8.110824074,2.0,2,2,45.0,336.3254489
3583.6614170000003,7142.857143000001,517328.0801,6635.826771999999,1.99317299,144.35740990000002,0.0138072089999999,72.42593121,1.0,3,3,42.0,170.15478819999998
4226.377953,121571.4286,511562.0792,6634.84252,28.76492115,121.04030559999998,0.23764746,4.207913695,1.0,2,2,59.0,164.7500255
4341.535433,287142.8571,1341389.398,9104.330709,66.13854973,308.96659,0.214063759,4.671505366,1.0,2,2,39.0,230.5214642
6270.669290999999,578714.2857,3864868.027,9428.149606,92.28907774,616.3405925,0.14973714,6.678369831,1.5,2,2,12.0,163.7143111
3712.598425,146000.0,453662.9274,7718.503937,39.32555673,122.1955287,0.321824842,3.107280324,1.0,1,1,20.0,155.3690717
4273.622047,179000.0,575831.7320000001,7873.031496,41.88484569,134.7409119,0.310854699,3.21693705,1.0,1,0,49.0,259.7738497
3712.598425,159142.8571,1276498.269,7762.795276000001,42.86562642,343.828802,0.124671424,8.021084275,1.0,2,0,29.0,151.60716630000002
3849.409449,132714.2857,2173653.9080000003,8088.582676999999,34.47653139,564.6720456,0.061055849,16.3784471,1.0,1,2,46.0,52.58334147
3486.220472,194285.7143,3808572.018,10278.54331,55.729612,1092.464475,0.051012745,19.60294421,1.0,2,2,23.0,259.7500402
3882.874016,87000.0,403597.9196,8758.858268,22.40608365,103.9430891,0.215561071,4.639056547,1.0,1,1,15.0,236.3996398
