surface_x,surface_y,gross_perforated_length,total_proppant,total_fluid,true_vertical_depth,proppant_intensity,frac_fluid_intensity,proppant_to_frac_fluid_ratio,relative_well_position,batch_frac_classification,well_family_relationship,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y,OilPeakRate
1380344.035,711916.2732,3179.133858,113000.0,561096.3964,8627.952756,35.54427245,176.4934795,0.20139142,1,1,0,1379965.126,709541.7145,1379630.025,707907.6708,59.75000925
1379915.895,717845.0063,3810.03937,286571.4286,1621423.513,8801.181102,75.21482083,425.5660783,0.17674064,2,1,2,1379357.25,715381.2327,1378960.372,713530.449,10.78571595
1383567.4430000002,706640.2009999999,3723.425197,106878.9286,437713.4249,8635.826772,28.70446509,117.5566587,0.244175578,2,1,2,1383099.61,704058.8508,1382727.299,702098.4882,123.7976382
1378962.585,702623.9787,3811.023622,112789.7143,622980.1559,8664.370079,29.59564817,163.4679335,0.1810486469999999,1,1,0,1379546.414,705150.7519,1379987.487,707123.7258,102.3095396
1381250.408,702293.2344,3536.417323,93000.0,563885.6587,8668.307087000001,26.29780128,159.4511075,0.164927053,0,1,0,1382166.864,704872.4045,1382717.737,706720.3298,98.63096765
1387300.731,706766.1052,4575.787402,140558.1429,847944.2384,8711.614173,30.7178045,185.3111091,0.165763427,2,1,2,1387788.248,709283.6808,1388174.6730000002,711314.474,123.286527
1388889.586,706536.157,4673.228346,91142.85714,609599.5943,8704.724409,19.50318931,130.44506909999998,0.14951266,2,1,2,1389357.383,709030.8139,1389741.421,711055.9529,136.21430680000003
1390235.998,706384.6691,4497.047243999999,89857.14286,636864.0986,8700.787402,19.9813651,141.6182806,0.14109312,1,1,0,1390647.333,708858.2914,1391052.6090000002,710830.3507,181.2762185
1370168.15,687892.5052,4095.472441,90714.28571,645947.1,8624.015748,22.14989529,157.7222431,0.1404360909999999,1,1,0,1370663.579,690453.3355,1371137.329,692373.4091,70.76191571
1378206.882,697393.7753,4726.377953,95767.92857,661375.1381,8639.76378,20.26243553,139.93276559999998,0.144801223,1,1,1,1378650.0990000002,699753.5269,1379056.999,701927.9248,208.4258259
1380287.7240000002,702503.6795,3338.582677,130063.1429,686340.1062,8666.338583,38.95759232,205.5782865,0.189502466,1,1,1,1380950.0159999998,705038.8183,1381428.0780000002,706932.7923,82.86906044
1377352.176,707536.4878,3596.456693,110714.2857,597060.8305,8624.015748,30.78426773,166.0136299,0.18543217,2,1,2,1375027.144,699665.1543,1374601.89,698249.0637,93.01231598
1379795.783,697164.3235,4672.244094,94998.78571,616264.5954,8629.92126,20.3325819,131.8990581,0.154152594,2,1,2,1380219.9619999998,699615.0431,1380604.2,701703.3509,54.92857993
1374456.74,691873.4428,4642.7165350000005,85610.35714,594318.8063,8555.11811,18.43971229,128.0110043,0.144047868,2,1,2,1376913.871,691425.6657,1378944.957,691068.333,133.41073490000002
1372886.388,697430.6596,4746.062992,87285.71429,684340.6059,8598.425197,18.39118327,144.19121850000002,0.12754718,2,1,2,1372462.4419999998,694979.8194,1372081.4740000002,692942.9084,76.35715467
1374463.494,697221.5403,4697.834646,95323.07143,609197.3324,8588.582677,20.29085283,129.6761973,0.156473225,2,1,2,1374036.872,694792.7270000001,1373662.483,692747.4326,178.69050380000002
1381088.851,696847.4517,4059.055118,74428.57143,428098.2567,8682.086614,18.33642788,105.4674658,0.173858618,1,1,1,1381199.763,699458.9261,1381373.915,701563.4216,81.85715553
1384890.551,706581.9752,4017.716535,135363.7857,1016598.657,8605.314961,33.69172129,253.0289652,0.133153614,1,1,0,1384374.825,704256.054,1383892.8909999998,702156.9475,83.51298912
1378718.8390000002,689343.7685,4085.629921,72142.85714,530286.0821,8572.834646,17.65770727,129.7929799,0.136045164,2,1,2,1376239.914,689822.5135,1374165.801,690169.7633,246.4992445
1389082.076,716751.1858,3355.314961,111142.8571,562187.6703,8718.503937000001,33.12441856,167.5513855,0.197697073,2,1,2,1388472.582,714057.1949,1388020.595,712067.286,35.41595786
1384513.136,693815.5051,6426.1811020000005,140571.4286,1099389.337,8661.417323,21.87480034,171.0797314,0.127863191,1,1,0,1385262.113,697706.7998,1385924.167,700930.6147,52.71429387
1383205.236,694004.2745,6351.377953,120428.5714,1019456.932,8661.417323,18.96101481,160.509568,0.1181301219999999,2,1,2,1383961.7969999998,697802.6285,1384586.811,701122.1357,225.8571778
